# 데이터 출처: 환경부 무공해차 통합누리집(ev.or.kr)
시도,지역구분,차종구분,공고파일,접수방법,민간공고대수_전체,민간공고대수_우선순위,민간공고대수_법인기관,민간공고대수_택시,민간공고대수_일반,접수대수_전체,접수대수_우선순위,접수대수_법인기관,접수대수_택시,접수대수_일반,출고대수_전체,출고대수_우선순위,출고대수_법인기관,출고대수_택시,출고대수_일반,출고잔여대수_전체,출고잔여대수_우선순위,출고잔여대수_법인기관,출고잔여대수_택시,출고잔여대수_일반,비고
서울,서울특별시,전기승용,본공고 1 본공고 2 본공고 3 추경1차 1,*일반: 출고등록순 *우선: 출고등록순,10500,1600,0,840,8060,2820,870,92,208,1650,1923,638,56,87,1142,8577,962,0,753,6918,"ㅇ 상반기 보급대수 : 승용 10,500대(일반 8,900대, 우선순위 1,600대) ※ 연간 총 보급대수 : 승용차 15,094대, 화물차 1,779대, 승합 76대 (총 16,949대) ※ 보급대수는 보급여건 및 예산범위 내에서 변동될 수 있으며 전기택시？전기이륜은 별도 공고, 3/4분기부터 우선순위？택배？중소기업 물량을 일반 물량과 통합 집행"
부산,부산광역시,전기승용,본공고 1 본공고 2 본공고 3,*일반: 출고등록순 *우선: 출고등록순,4126,0,0,0,4126,1186,337,30,167,652,737,200,20,127,390,3389,0,0,0,3736,"ㅇ 상반기 보급대수 : 5023대(승용차 4,126, 화물차 846, 승합 38, 어린이통학차 13) ※ 보급대수는 보급여건 및 예산범위 내에서 변동될 수 있음 ㅇ 보급기간 : `26. 1. 28.(수) ∼ ‘26. 12. 11.(금) (※ 보급기간 내 지급신청까지 완료하여야 하며, 예산소진 시 신청마감) * 신청서 및 각종 첨부서류는 1개의 PDF파일로 업로드해주세요 * 대상자 선정 전 차량 출고 시 보조금 지급되지 않습니다. 주의바랍니다."
대구,대구광역시,전기승용,본공고 1 본공고 2,*일반: 출고등록순 *우선: 출고등록순,1215,122,0,60,1033,1244,260,35,136,813,508,126,10,63,309,707,0,0,0,724,"★ 접수 후 빠른 처리를 위해 단순 문의 및 처리 독촉 전화는 자제해주시길 바랍니다. ★ *2026년 전기자동차 민간보급사업 안내(1차)* - 1차 물량 : 1,419대(승용차 1,215대, 화물차 200대, 승합차 4대) * 보급수량은 차종별 보조금 차등지원 및 차종별 구매수요에 따라 가감될 수 있습니다. - 신청접수 : 마감 ※ 2026년 전기차 보급대수 : 3,542대(승용차 3,035, 화물차 500, 승합차 7) 1차 : 1,419대, 2차 : 1,063대, 3차 : 1,060대 -> 보급추이 및 여건에 따라 회차 및 시기는 조정될수 있습니다. - 신청양식 : 대구시 양식(공고문 양식 다운로드) - 기타 상세 사항은 공고문을 참고하시기 바랍니다."
인천,인천광역시,전기승용,본공고 1 본공고 2,*일반: 출고등록순 *우선: 출고등록순,6160,880,0,440,4840,1693,593,30,61,1009,933,331,14,31,557,5227,549,0,409,4283,"*** 2025년 계약한 차량은 신청불가입니다. 지원 신청한 차량들도 계약서 수정 요청 바랍니다*** *** 2. 4. 일 18:00 화물차 신청 마감합니다. *** ***2. 4. 일 부터는 보조금 지원신청을 해도 보조금 지원 대상자가 안될 수 있으며 대부분 대기자 명단에 포함될 것으로 예상됩니다*** ***신청화물차 보조금 선정 기준은 출고 등록 순(대상자 선정 순)입니다 참고 바랍니다*** * 문의사항에 대해 공고문 보완(파란색 표시)해서 재첨부하였으니 확인바랍니다* ***2026년 상반기 전기자동차 민간보급사업 안내*** 2026년 전기승용차 보급대수 : 8,800대 - 1차 상반기 6,160대(70%) *택시 및 우선순위 물량 있음 - 2차 하반기 2,640대(30%) * 통합진행 - 신청접수는 1. 29.(목) 09:00부터 시작합니다 - 신청양식은 인천시 양식으로 다운받아서 제출해주시기 바랍니다. - 보급대수는 보급여건에 따라 변동될수 있으며 상반기 목표대수 소진 시 조기 종료합니다. - 기타 사항은 첨부된 공고문을 참고하시기 바랍니다 ***지자체 문의처(연락처)는 조만간 변경예정이오니 수시로 공고를 확인하여 주시기 바랍니다***"
광주,광주광역시,전기승용,본공고 1 본공고 2,*일반: 출고등록순 *우선: 출고등록순,1930,193,0,97,1640,1074,200,25,116,733,615,149,17,83,366,1315,44,0,14,1274,"o 접수기간 : '26.1.30.(금)~ 12.4.(금) ※ 예산소진시까지 o 보급대수 : 총 2,279대(승용 1,930대, 화물 330대, 승합 19대) ★ 화물 신청접수 마감됐습니다(예산소진) * (본공고1) 공고문 (본공고2) 차종별 국시비 보조금 ★ 접수 후 빠른 처리를 위해 단순 접수 알림, 처리 독촉 전화는 자제 부탁드립니다."
대전,대전광역시,전기승용,본공고 1 본공고 2,*일반: 출고등록순 *우선: 출고등록순,924,92,0,46,786,1154,342,29,89,694,652,197,10,50,395,272,0,0,0,391,"<2026년 상반기 전기자동차 보급사업 안내> - 접수기간: 2026. 1. 28.(공고일) 09:00 ~ 예산소진시까지 - 보급대수 : 상반기 924대(70%), 하반기 395대(30%) * 차종별 차등지원 및 보급여건에 따라 변동될 수있음 * 대상자 선정 잔여 약 200대(26.2.25 13:00 기준) - 지원대상: 신청일 기준 30일간 연속하여 대전시에 주소를 둔 개인, 법인 등 * 대상자 선정은 자동차 출고 등록 순 * 지원신청서의 빠른 승인을 위해 독촉 전화문의는 자제 부탁드립니다. * 자세한 사항은 공고문 참고하여 주시기 바랍니다. ★ 차종별 보조금액, 전환지원금 본공고2 첨부파일 참고"
울산,울산광역시,전기승용,본공고 1 본공고 2 본공고 3,*일반: 출고등록순 *우선: 출고등록순,1736,0,0,0,1736,544,164,8,36,336,365,109,2,31,223,1371,0,0,0,1513,"★ 현재 전화문의 폭주로 ""대상자 선정""이 지연되고 있습니다. 전화문의 자제부탁드립니다. ★ 누락된 서류가 없는지 필히 확인하여 주시기 바랍니다. (보완요청시 검토 순서가 후순위로 밀릴 수 있음) ★ 지급 신청 시 별지 제2호 서식 지급신청서를 첨부하여 주시기 바랍니다. <2026년 상반기 전기자동차(승용) 보급사업 안내> ○ 접수기간 : 2026. 1. 26.(월) 09:00 ~ 6. 30.(화) 예산소진시 조기마감 ○ 보급대수 : 1,736대 * 예산 범위 내에서 변동 될 수 있음 ( 총보급대수 2,480대 / 상반기 1,736대, 하반기 744대) * 기타 자세한 내용 공고문 참조 * 지원(지급)신청서 등 모든파일은 1개의 PDF파일로 저장하여 업로드 * (전환지원금)판매 및 폐차 관련 서류는 지급 신청 전까지 제출 - 대리점에서는 전환지원금 Y로 선택(판매, 폐차 등 지원대상은 모두 Y로 선택) - 전환지원금은 ""개인""만 가능 (개인사업자, 법인 불가) ※ 본공고1 : 공고문, 본공고2 : 차종별 국시비 보조금, 본공고3 : 별지서식"
세종,세종특별자치시,전기승용,본공고 1 본공고 2,*일반: 출고등록순 *우선: 출고등록순,797,120,0,40,637,426,170,5,6,245,176,71,1,2,102,621,49,0,38,535,"[전기승용] ㅇ 보급대수: 1,138대(상반기 797대, 하반기 341대) ㅇ 상반기 공고일 : 2026. 2.2.(월) 10:30 ㅇ 상반기 신청기간: 2.2.(월) 14:00 ~ 예산소진시까지 ㅇ 지원대상 : 신청일 기준 60일 이상 세종시에 주소를 둔 만 18세 이상 시민 - (개인사업자) 사업장과 신청대상자의 주소 모두 세종시에 주소를 둔 자 - (법인) 세종시 내 사업장(본사, 지사, 공장, 자동차 대여사업소 등)이 위치한 법인, 기업, 단체 및 비영리 법인 - (택시) 세종시에 주소를 둔 택시사업자(개인택시 등 영업용 차량의 경우는 사용본거지 기준) ㅇ 공통 구비서류: 구매신청서('25년 서식 사용가능), 차량 계약서, 지방세 완납증명서 ㅇ 대상자별 구비서류 - (개인) 주민등록초본(공동명의 시 공동명의자 등·초본 제출) - (개인사업자) 사업자등록증, 대표자의 주민등록초본 - (법인·기관) 사업자등록증 또는 법인등기부등본 - (외국인) 국내거소사실확인서 또는 외국인등록증 ---------------------------------------------------------------------------------------------- ※ 모든 서류는 신청일 기준 30일 이내 발급분에 한해 인정되며, 신청서 및 첨부서류 일체를 하나의 PDF 파일로 제출 ※ 추가보조금, 전환지원금 등 신청 요건은 세종시 콜센터(044-120)로 문의 요청 ※ 신청서 접수 후 처리 기한은 7일 이며, 접수순으로 처리 * 독촉 및 단순 문의 민원으로 업무처리가 지연되오니, 자제해 주시기 바람 * 단순 문의는 공고문 참고, 노약자 및 장애인께서는 세종시 민원콜센터(044-120)로 문의바람 ※ 무공해차 통합누리집 내 출고잔여대수와 실제 잔여대수는 일치하지 않음 ※ 2025년도 공고문의 서식을 사용할 경우에도 2026년도 보조금 지급 기준을 따름 ※ 보급대수는 보급여건에 따라 변동될 수 있으며, 상반기 목표대수 소진 시 또는 시비 소진 시 조기 마감될 수 있음"
경기,수원시,전기승용,본공고 1 본공고 2,*일반: 출고등록순 *우선: 출고등록순,2470,0,0,123,2347,750,240,12,45,453,359,121,5,16,217,2111,0,0,107,2130,"★ 화물차 접수마감 및 대상자 선정 마감(2026-02-19 14:10) - 취소물량 발생시, 자격부여 건에 한해서 지원가능 요청 순으로 연락 예정 - 2차 접수는 하반기(6월말 ~ 7월초) 예정 ★ 출고 예정일자가 당일이어도, 접수순 및 지원가능확인요청 순으로 순차적으로 검토합니다. 출고 일자로 인해 전화주셔도 먼저 처리해드리지 못하니, 독촉 전화는 자제하여 주시기 바랍니다. [신청이 한꺼번에 몰릴 경우, 당일 처리 불가(원칙기한 : 7일 이내 통보)] ★ 기본 제출 서류, 차종 단가 등은 문의 전, 반드시 공고문을 먼저 확인하여 주시기 바랍니다. ---------------------------------------------------------------------------------------------------- [2026년 상반기 전기자동차(승용,화물,승합) 보급사업] ○ 접수기간 : 2026. 2. 4.(수) 09:00 ~ 6. 30.(화) 18:00 (* 차종별 순차적 접수, 예산 소진 시 조기 마감) - [승용] 2. 4.(수) 09:00 ~ 6. 30.(화) 18:00 - [화물] 2. 11.(수) 09:00 ~ 6. 30.(화) 18:00 - [승합] 2. 19.(목) 09:00 ~ 6. 30.(화) 18:00 ○ 보급대수 : 총 2,652대(승용 2,470대 / 화물 177대 / 일반 승합 5대) (* 보급대수는 차종별 보조금 차등 지원에 따라 예산범위 내에서 변동될 수 있음.) - [승용] 2,470대(일반 2,347대, 택시 123대) - [화물] 177대(일반 168대, 택배 9대) , [승합] 5대(일반 5대, 개인 신청자에 해당) ○ 선정기준 : (승용,화물) 자동차 출고·등록순 / (승합) 지원신청서 접수순 ○ 신청대상 : 지원신청일 이전 60일 이상 수원시에 연속하여 주소를 둔 자 ○ 신청방법 : 제조·수입사에서 무공해차 통합누리집 사이트로 신청 ○ 보급차량 : 관계 법령에 의해 각종 인증을 모두 완료한 전기자동차 ○ 기타 자세한 사항은 공고문 참조 ---------------------------------------------------------------------------------------------- ※ 시스템 상 표시된 잔여대수와 실제 잔여대수는 상이함. - 사이트 내 출고대수는 지급신청을 완료한 대수임. (대상자 선정 대수가 모두 반영되지 않음.) ※ 차종별 보조금 확인방법(사이트 상단에서 해당 탭 클릭) - ‘구매 및 지원’ - ‘무공해차 구매보조금 지원’ - ‘지자체 차종별 보조금’ 참조 ※ 단순 문의 전 반드시 공고문 확인 (문의 전화 많을 경우, 처리는 지연됨.)"
경기,성남시,전기승용,본공고 1 본공고 2 본공고 3,*일반: 출고등록순 *우선: 출고등록순,1949,0,0,0,1949,266,70,8,20,168,94,27,2,13,52,1855,0,0,0,1897,"★ 성남시 전기자동차(승용, 화물) 보급사업 공고 ★ ○ 접수기간: 2026. 2. 9.(월) 10:00 ~ 2026. 12. 11.(금) 18:00 (단, 지급신청 2026. 12. 16.(수) 18:00까지) ○ 지원대수: 2,092대(승용 1,949대, 화물 143대) ○ 신청조건: 신청일 기준 성남시 거주 3개월 이상 개인, 법인 및 단체, 공공기관, 지방공기업 등 ○ 선정기준: 차량 출고등록순 ○ 지원금액 확인: 구매보조금 지급현황 - 지자체 차종별 보조금 - 성남시로 조회 ※ 본공고1:공고문 hwpx 파일, 본공고2: 공고문 pdf 파일, 본공고3: 성남시 차종별 보조금 현황 * 출고 10일 이내 차량에 한하여 신청( 지원신청시 출고증빙서류 첨부 必) * 제출서류 및 자세한 사항은 공고문 필수 확인바랍니다. --------------------------------------------- * 순차적으로 서류 검토 중에 있으며 빠른 업무처리를 위해 처리 독촉 등 전화 자제 부탁드립니다. * 차종별 금액 상이하여 잔여대수와 출고대수는 실제대수와 다름을 알려드립니다."
